"","epoch","train.box_loss","train.cls_loss","train.dfl_loss","metrics.precision.B.","metrics.recall.B.","metrics.mAP50.B.","metrics.mAP50.95.B.","val.box_loss","val.cls_loss","val.dfl_loss","lr.pg0","lr.pg1","lr.pg2","name"
"2.1",2,2.1651,3.0855,2.4164,0.5513,0.523,0.44096,0.17012,0.76884,4.1461,0.821,0.0066,0.0066,0.0066,"2023-09-28_12-16-27.479006981_combined2"
"4.1",2,2.188,3.0559,2.423,0.35731,0.3133,0.23516,0.08439,1.108,1.8614,1.2905,0.0066,0.0066,0.0066,"2023-09-28_12-24-48.537440309_combined2"
"3",3,2.0496,2.8608,2.219,0.38376,0.32128,0.20846,0.07582,1.8045,3.5738,2.0543,0.0098014,0.0098014,0.0098014,"2023-09-30_15-28-40.449020447_combined"
"7",4,2.0143,2.6869,2.0872,0.15446,0.07509,0.03597,0.01184,3.0686,4.5362,3.8138,0.009703,0.009703,0.009703,"2023-10-01_13-59-10.429044921_combined2"
"9",4,1.888,2.47,2.0458,0.35912,0.16769,0.1239,0.03882,2.0395,4.1501,2.1871,0.009703,0.009703,0.009703,"2023-10-01_14-05-35.643162290_combined2"
"11",2,2.1575,3.0118,2.4095,0.14012,0.17131,0.06201,0.01965,1.9942,3.1462,1.8642,0.0066001,0.0066001,0.0066001,"2023-10-10_12-47-19.486076838_combined2"
"27",27,1.3029,1.3468,1.5618,0.25491,0.13634,0.09683,0.03086,2.83,3.7793,2.8406,0.007525,0.007525,0.007525,"2023-10-10_12-51-16.915018666_combined"
"1",1,2.5938,6.87,3.1872,0.25245,0.18499,0.12336,0.04074,1.5973,4.0174,1.7338,0.0033327,0.0033327,0.0033327,"2023-10-10_13-31-14.592166793_combined"
"54",54,1.1883,1.1733,1.3944,0.39074,0.22959,0.16609,0.05423,0.68406,2.6204,0.66271,0.004852,0.004852,0.004852,"2023-10-10_14-00-44.776482475_combined2"
"16",1,2.5825,7.3577,3.195,0.3639,0.11819,0.09284,0.03481,1.8836,4.6243,1.7537,0.0033328,0.0033328,0.0033328,"2023-10-11_15-18-06.422624098_combined"
